# from https://gitlab.cern.ch/cms-hgcal-tb/hgcdedxcalculator/blob/master/data/Oct2018_CERN/config2/materials.txt
Air,20.000
Fe,41.000
PCB,1.300
Cu,0.175
Si,0.100
Si,0.100
Si,0.100
PCB,1.200
Cu,1.200
Cu,6.000
Air,17.000
Fe,41.000
Air,1.700
PCB,1.300
Cu,0.175
Si,0.100
Si,0.100
Si,0.100
Cu,0.025
Kapton,0.075
Cu,0.025
Kapton,0.075
Cu,1.200
Cu,1.200
Cu,6.000
Air,15.000
Fe,41.000
Air,47.000
Fe,41.000
Air,45.000
Fe,9.000
PCB,1.300
Cu,0.175
Si,0.100
Si,0.100
Si,0.100
Cu,0.025
Kapton,0.075
Cu,1.200
Cu,1.200
Cu,6.000
Air,16.000
Fe,41.000
PCB,1.300
Cu,0.175
Si,0.100
Si,0.100
Si,0.100
Cu,0.025
Kapton,0.075
Cu,1.200
Cu,1.200
Cu,6.000
Air,18.000
Fe,41.000
Air,3.800
PCB,1.300
Cu,0.175
Si,0.100
Si,0.100
Si,0.100
Cu,0.025
Kapton,0.075
CuW,1.200
Cu,1.200
Cu,6.000
Air,16.000
Fe,41.000
Air,3.800
PCB,1.300
Cu,0.175
Si,0.100
Si,0.100
Si,0.100
Cu,0.025
Kapton,0.075
Cu,1.200
Cu,1.200
Cu,6.000
Air,19.000
Fe,41.000
Air,1.700
PCB,1.300
Cu,0.175
Si,0.100
Si,0.100
Si,0.100
Cu,0.025
Kapton,0.075
Cu,1.200
Cu,1.200
Cu,6.000
Air,45.000
Fe,41.000
PCB,1.300
Cu,0.175
Si,0.100
Si,0.100
Si,0.100
Cu,0.025
Kapton,0.075
Cu,1.200
Cu,1.200
Cu,6.000
Air,30.000
Fe,41.000
